NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-14,1,0.72684,5.3125,0.5
-14,1,0.74109,5.3125,0
14,1,0.8621,5.3125,0
-14,1,0.79018,42.5,1
-14,1,0.5854,42.5,1
-14,1,0.85879,5.3125,0.5
14,1,0.79521,10.625,0
-14,1,0.7192,21.25,1
14,1,0.5651,10.625,0
-14,1,1.8204,5.3125,0.5
-14,1,1.2421,10.625,0
-14,1,0.72992,5.3125,1
-14,1,0.76403,5.3125,1
-14,1,0.63554,10.625,0
-14,1,1.1925,21.25,0
-14,1,0.79185,10.625,0
-14,1,0.68898,42.5,0.5
-14,1,0.75123,21.25,1
-14,1,0.78193,42.5,0.5
-14,1,0.70558,5.3125,0.5
-14,1,0.63502,10.625,1
14,3,0.54755,10.625,1
14,3,0.84071,10.625,0.5
-14,1,0.6964,42.5,0.5
-14,3,1.0101,42.5,0
14,1,0.784,5.3125,0
-14,1,0.99679,5.3125,0
-14,1,0.75842,21.25,1
-14,3,0.73288,5.3125,0
14,3,0.74967,10.625,1
-14,1,0.88356,5.3125,0.5
-14,1,0.76094,21.25,0.5
-14,3,0.72444,5.3125,0
14,1,0.89069,5.3125,0.5
-14,1,0.74742,5.3125,1
-14,1,0.84548,21.25,0.5
-14,3,0.74005,42.5,0
14,1,0.86078,5.3125,0
14,1,1.0319,42.5,0.5
14,3,0.75547,5.3125,0.5
14,1,0.68586,10.625,0
-14,1,0.71062,5.3125,1
14,3,0.77696,42.5,0.5
14,3,0.83999,42.5,0.5
14,1,0.71721,10.625,0.5
-14,1,0.67746,10.625,0
-14,1,0.58148,21.25,1
14,3,0.51456,21.25,0.5
14,3,0.66694,21.25,0.5
-14,1,0.7312,42.5,1
14,3,0.61751,5.3125,1
-14,1,0.79297,10.625,1
-14,3,1.0133,21.25,0
-14,1,1.0073,42.5,1
14,3,1.0679,42.5,0
14,1,1.3217,10.625,0
-14,1,1.3626,42.5,0.5
-14,3,0.87432,21.25,0
14,3,1.0435,42.5,1
14,1,0.85747,21.25,0.5
14,3,0.80624,42.5,1
