NumTrials=720, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
11,1,0.75055,21.25,0
-11,1,0.65375,5.3125,0.5
11,1,0.65498,10.625,0.5
-11,1,0.71306,10.625,0
11,3,0.51795,21.25,1
-11,1,0.64724,21.25,0
-11,1,0.50773,21.25,0
11,1,0.57185,42.5,0.5
-11,1,0.50694,5.3125,1
-11,1,0.54084,5.3125,0.5
11,3,0.51254,42.5,0
11,3,0.507,42.5,1
11,3,0.58399,5.3125,0.5
-11,1,0.65157,21.25,0.5
11,3,0.62172,10.625,1
11,1,0.5738,42.5,0
-11,1,0.50609,10.625,1
11,3,0.50806,10.625,1
11,3,0.50612,21.25,1
11,3,0.50669,10.625,1
11,3,0.53232,10.625,0.5
11,3,0.50808,10.625,1
-11,1,0.52215,10.625,0.5
-11,1,0.51224,42.5,0.5
11,3,0.50603,10.625,0
11,3,0.50795,5.3125,1
-11,1,0.64604,10.625,0
-11,1,0.56399,42.5,0.5
-11,1,0.50703,42.5,1
-11,3,0.59497,10.625,0
-11,1,0.53655,5.3125,0
-11,1,0.60278,42.5,0.5
-11,3,0.59286,5.3125,0
-11,1,0.57447,5.3125,0.5
11,3,0.6832,5.3125,1
11,3,0.59338,21.25,0.5
-11,1,0.57468,5.3125,0.5
11,3,0.55611,5.3125,0
11,1,0.53753,5.3125,0.5
-11,1,0.58264,10.625,0
-11,1,0.79931,42.5,0.5
-11,3,0.66205,42.5,0.5
11,3,1.0534,21.25,0
11,1,0.50762,5.3125,0
-11,1,0.54529,5.3125,1
11,3,0.60575,21.25,0.5
-11,1,0.53821,5.3125,1
11,1,0.55997,10.625,0.5
-11,3,0.50807,10.625,0
11,3,0.66141,10.625,0.5
11,1,0.56658,10.625,0.5
11,1,0.50812,10.625,0
11,3,0.56081,21.25,0.5
-11,1,0.5557,42.5,1
-11,3,0.53239,5.3125,0
-11,1,0.52006,42.5,0.5
-11,1,0.76764,21.25,0.5
11,3,0.50764,5.3125,1
-11,1,0.53504,5.3125,0.5
-11,1,0.50834,5.3125,0
11,3,0.51238,42.5,1
-11,1,0.54667,5.3125,1
11,3,0.56071,10.625,1
11,3,0.51077,10.625,1
11,1,0.51199,42.5,0
11,3,0.50814,42.5,0
11,3,0.52976,21.25,1
11,3,0.50673,10.625,0
11,1,0.57427,42.5,0
-11,1,0.50603,10.625,0.5
11,3,0.56472,21.25,0.5
-11,1,0.51179,42.5,1
11,3,0.50708,5.3125,1
-11,1,0.52949,10.625,0
11,1,0.51201,42.5,0
-11,1,0.507,42.5,1
-11,1,0.66993,42.5,0
-11,1,0.50703,5.3125,1
-11,1,0.51252,42.5,1
11,3,0.53227,10.625,0.5
-11,1,0.50808,10.625,1
11,3,0.50792,5.3125,1
11,3,0.61072,10.625,0
-11,3,0.5723,21.25,0
11,1,0.60297,21.25,0
11,3,0.95832,21.25,0.5
11,3,0.55563,5.3125,1
-11,1,0.52967,5.3125,0.5
11,1,0.51261,42.5,0
11,3,0.50616,10.625,1
-11,1,0.63827,5.3125,0
11,3,0.50629,21.25,1
-11,1,0.51054,10.625,1
11,3,0.50891,21.25,0
11,3,0.51179,42.5,0.5
11,3,0.50504,21.25,0.5
-11,1,0.50749,10.625,0.5
11,1,0.50791,5.3125,0.5
11,1,0.50835,5.3125,0.5
11,1,0.50824,5.3125,0
11,3,0.70663,5.3125,0.5
-11,1,0.52792,21.25,1
11,3,0.67575,42.5,1
11,3,0.71157,5.3125,0
11,1,0.63907,10.625,0
-11,1,0.50796,5.3125,1
11,3,0.54549,5.3125,1
-11,1,0.50662,21.25,0.5
-11,1,0.5093,10.625,0
11,1,0.50614,21.25,0
11,1,0.50781,21.25,0.5
-11,1,0.56834,42.5,0
-11,1,0.57567,10.625,0.5
11,1,0.54043,21.25,0
11,1,0.564,5.3125,1
-11,1,0.50745,10.625,0.5
11,1,0.65679,5.3125,0.5
-11,1,0.53448,42.5,0.5
-11,1,0.58147,21.25,0
-11,1,0.53949,10.625,1
-11,3,0.56672,42.5,0
-11,1,0.50494,21.25,1
11,3,0.59874,21.25,0.5
-11,1,0.54642,21.25,0.5
11,3,0.76406,42.5,0.5
11,1,0.50522,21.25,0.5
11,3,0.50761,5.3125,0.5
-11,3,0.71424,21.25,0
-11,1,0.51479,21.25,0.5
11,1,0.53788,21.25,0.5
-11,1,0.50778,21.25,1
11,3,0.50766,5.3125,0.5
11,1,0.51255,42.5,0
-11,1,0.50612,10.625,0.5
-11,1,0.50615,21.25,1
-11,1,0.52455,5.3125,1
11,3,0.54378,42.5,0.5
11,3,0.5052,21.25,1
11,3,0.50674,10.625,1
-11,1,0.5081,10.625,0.5
-11,1,0.50616,21.25,0.5
11,3,0.53363,10.625,1
-11,1,0.51213,42.5,1
11,1,0.50495,21.25,0
-11,1,0.50762,5.3125,0
-11,1,0.50836,5.3125,1
11,3,0.55085,42.5,1
-11,1,0.7571,21.25,1
11,1,0.70017,10.625,0
-11,1,0.62909,5.3125,0
-11,1,0.51787,21.25,0
11,1,0.53448,21.25,0
11,1,0.53277,21.25,0.5
11,3,0.6913,21.25,1
-11,1,0.50669,10.625,1
11,3,0.53893,5.3125,0
-11,1,0.50626,21.25,1
11,3,0.72819,21.25,0
11,3,0.51205,42.5,1
11,3,0.6271,21.25,0
11,3,0.51203,42.5,1
-11,1,0.50616,10.625,1
11,1,0.65461,5.3125,0.5
-11,1,0.53657,5.3125,1
11,3,0.55691,21.25,0
-11,3,0.69175,21.25,1
11,3,0.61571,42.5,1
11,3,0.50683,42.5,0.5
11,3,0.50617,10.625,0.5
11,1,0.50797,5.3125,0
11,1,0.56579,5.3125,0
11,3,0.50621,21.25,0.5
-11,1,0.50762,5.3125,0.5
-11,1,0.50827,5.3125,0
-11,1,0.50828,5.3125,1
-11,1,0.50837,5.3125,0.5
-11,1,0.50834,5.3125,0
11,3,0.50628,21.25,1
11,3,0.50777,21.25,1
11,1,0.51185,42.5,0
