NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-14,1,1.2245,21.25,0.5
-14,3,0.86114,5.3125,0
-14,1,0.96267,21.25,1
14,3,0.70651,5.3125,1
14,3,0.64891,21.25,1
-14,1,0.70292,21.25,0.5
14,3,0.64112,10.625,0.5
14,3,0.69063,10.625,0
-14,1,0.68336,42.5,1
-14,3,0.89635,5.3125,0.5
14,1,0.7753,5.3125,0
-14,1,1.1709,10.625,0.5
14,3,0.7373,5.3125,1
14,3,0.7597,21.25,1
-14,1,0.77186,21.25,1
14,1,1.0336,21.25,0
-14,1,0.76436,21.25,1
-14,1,0.76529,5.3125,1
14,3,0.84858,21.25,0
14,1,0.78093,10.625,0
14,3,0.99738,21.25,1
14,1,1.0651,10.625,0
14,3,0.88359,42.5,0.5
-14,3,0.9451,42.5,0.5
14,3,0.60628,42.5,0
14,3,0.65492,10.625,0.5
14,3,0.56996,21.25,0
14,1,0.56284,21.25,0
14,3,0.66086,42.5,1
14,1,1.6167,10.625,0
-14,3,0.80712,21.25,0.5
-14,1,0.79734,42.5,0
-14,3,0.63585,10.625,0.5
-14,1,0.75936,42.5,0.5
14,3,0.77036,42.5,1
-14,1,0.82219,10.625,1
14,3,0.76385,5.3125,0.5
14,3,0.81932,42.5,1
-14,1,0.67524,42.5,0.5
-14,1,0.87094,42.5,0.5
-14,3,1.034,5.3125,0.5
-14,3,0.82794,5.3125,0
-14,1,0.75686,10.625,1
14,3,0.86424,42.5,0
14,1,0.6224,21.25,0
14,3,0.82979,21.25,1
-14,1,0.71876,10.625,0.5
14,1,0.86177,10.625,0
-14,1,0.75364,21.25,0
-14,1,0.85424,21.25,0.5
14,3,0.65751,21.25,0.5
-14,1,0.6376,42.5,0
14,3,0.93047,42.5,0
-14,3,0.81087,5.3125,1
14,1,0.81228,5.3125,0
-14,1,0.79483,5.3125,0.5
14,3,0.74111,21.25,1
14,1,0.82917,21.25,0.5
-14,1,0.78222,10.625,0.5
14,1,0.84672,21.25,0.5
-14,1,0.94966,42.5,0.5
14,3,0.95661,5.3125,1
14,1,0.64955,42.5,0.5
14,1,0.79375,42.5,0
14,3,0.58395,42.5,1
-14,1,0.68979,42.5,1
14,3,0.59838,21.25,1
14,3,0.7575,21.25,1
14,3,0.76506,10.625,1
14,3,0.85292,10.625,1
14,1,0.75296,42.5,0
14,3,0.75183,42.5,1
14,1,0.7933,42.5,0.5
14,3,0.82138,10.625,0
14,3,0.8083,21.25,1
14,1,0.76142,5.3125,0.5
-14,1,0.81236,5.3125,0
14,3,0.75668,10.625,0.5
-14,1,0.82372,10.625,1
14,1,0.89469,10.625,0.5
-14,3,0.52253,21.25,1
-14,1,0.85839,21.25,0
14,3,0.69795,21.25,0
14,1,2.8622,21.25,0.5
-14,3,0.69177,10.625,0
-14,1,0.85898,42.5,1
14,3,0.73454,10.625,1
-14,1,0.5992,21.25,1
-14,1,0.73261,21.25,1
-14,1,0.78857,5.3125,1
-14,1,0.76463,5.3125,0.5
14,1,0.85638,10.625,0
14,3,0.90109,10.625,0.5
14,1,0.69657,5.3125,0.5
14,1,1.3105,42.5,0.5
14,3,0.86807,42.5,1
14,3,0.69057,5.3125,1
14,3,0.72874,21.25,0.5
14,3,0.66991,21.25,1
14,1,0.72889,5.3125,0
-14,3,0.85765,10.625,0.5
14,1,0.70578,5.3125,1
-14,1,1.0678,42.5,1
-14,3,0.98731,10.625,0
14,3,0.76426,5.3125,0.5
14,3,0.78499,10.625,1
14,1,0.8515,5.3125,0
-14,3,0.77419,10.625,1
-14,1,0.73782,21.25,1
14,3,0.94897,5.3125,0
-14,1,0.97984,5.3125,0.5
14,3,0.77365,5.3125,0.5
-14,1,3.3756,21.25,0
14,3,0.85825,10.625,0.5
