NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-14,1,0.5726,10.625,1
-14,3,0.83753,10.625,0
-14,1,0.79306,21.25,0
14,1,0.69029,21.25,0.5
-14,3,0.57034,21.25,0.5
14,1,0.87993,21.25,0.5
-14,1,0.73166,21.25,0.5
14,3,0.68396,5.3125,0.5
-14,1,0.56346,10.625,1
-14,1,0.76282,10.625,0.5
-14,3,0.80483,42.5,0.5
14,1,1.2478,5.3125,1
-14,1,0.68683,42.5,0.5
14,3,0.53304,42.5,0
-14,1,0.72885,5.3125,1
14,1,0.72445,5.3125,0
14,3,0.71314,5.3125,0
-14,1,0.71405,42.5,0.5
