NumTrials=1200, DotSize = 3, Nx = 308, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,1,0.59385,42.5,0.25
-1,1,0.52368,5.3125,0.5
-1,1,0.5294,21.25,0.75
-1,3,0.50716,10.625,0
1,1,0.5535,21.25,0.75
-1,3,0.70862,42.5,0.25
-1,1,1.3377,5.3125,0
1,3,0.52379,5.3125,0
1,1,0.64597,42.5,0.25
-1,3,0.61601,5.3125,0
1,3,0.57941,5.3125,0.25
1,3,0.7657,5.3125,0.75
-1,1,0.53168,10.625,0.5
-1,1,0.54649,42.5,0.75
-1,3,0.62997,21.25,0
1,3,0.5098,21.25,1
-1,1,0.53039,10.625,0.75
1,1,0.50436,21.25,0.25
1,3,0.54486,42.5,0.25
1,1,0.66564,21.25,0.75
-1,1,0.55626,5.3125,0.75
1,3,0.65855,21.25,0
-1,1,0.59512,42.5,0.75
1,1,0.51402,21.25,0.5
1,3,0.52162,21.25,0
-1,1,0.63296,10.625,0.25
1,1,0.59481,5.3125,0
-1,1,0.54723,5.3125,0.5
1,1,0.78455,5.3125,0.75
1,1,0.62149,21.25,0.75
-1,1,0.62064,21.25,1
-1,1,0.7607,10.625,0.25
1,3,0.53298,21.25,0.5
1,1,0.59376,5.3125,0
1,3,0.54363,10.625,0.75
-1,1,0.54877,42.5,0
1,3,0.51333,21.25,0.5
-1,1,0.55757,42.5,0
1,3,0.53238,21.25,1
1,1,0.53337,21.25,0.5
-1,1,0.64137,5.3125,0
-1,1,0.64329,5.3125,0.75
-1,1,0.56505,21.25,0.75
-1,1,0.52433,10.625,0.75
1,1,0.84153,42.5,0.75
-1,1,0.56596,42.5,0.5
1,3,0.52917,10.625,0
1,3,0.87209,10.625,0.25
-1,1,0.81228,10.625,0.25
1,3,1.2112,10.625,0
-1,1,0.65552,42.5,0.75
1,3,0.54883,10.625,1
-1,1,0.55864,21.25,0.5
1,3,0.63752,42.5,0.75
-1,3,0.55795,21.25,0.75
1,3,0.79172,42.5,0.25
-1,1,0.52883,10.625,1
1,3,0.63645,42.5,0.5
1,3,0.53936,21.25,0.25
1,3,0.63716,10.625,1
1,3,0.85628,10.625,0.25
-1,1,1.5744,21.25,0.5
-1,1,0.94709,10.625,1
1,3,0.58011,10.625,1
-1,3,0.62507,21.25,0
-1,1,0.58358,5.3125,0.5
1,3,0.5409,21.25,1
-1,1,0.60046,21.25,0.5
1,3,0.87514,21.25,0.75
1,3,0.67666,10.625,0.25
1,3,0.75522,5.3125,0
-1,3,0.69729,21.25,0.25
1,3,0.59067,42.5,0.25
-1,1,0.60986,5.3125,1
-1,3,0.64995,10.625,0.25
-1,1,0.54287,5.3125,0.25
1,1,0.50829,10.625,0.5
-1,1,0.6292,5.3125,1
1,1,0.5564,21.25,0.5
-1,1,0.55744,42.5,1
1,1,17.7102,42.5,0
1,3,0.88861,42.5,0.75
-1,1,0.63241,5.3125,0.5
1,1,0.60851,42.5,0
1,3,0.60547,10.625,1
-1,1,0.5725,5.3125,0.5
-1,1,0.61654,42.5,0.5
-1,3,0.53152,42.5,0.5
-1,3,0.58797,5.3125,0.5
-1,1,0.69708,21.25,0.25
-1,1,0.69671,5.3125,0.5
1,3,0.53517,42.5,1
-1,3,0.50513,10.625,0
17,1,0.65013,21.25,0.75
-17,3,0.53828,21.25,0.5
17,3,0.52269,5.3125,0.75
-17,1,0.55646,21.25,1
17,3,0.50984,21.25,0.75
-17,3,0.54561,42.5,0.25
17,3,0.53627,10.625,0.75
-17,3,0.58741,10.625,0.25
17,3,0.68666,42.5,0.5
17,3,0.56885,10.625,0.75
17,1,0.50965,5.3125,0.75
-17,1,0.53558,42.5,1
17,1,0.51404,21.25,1
-17,1,0.53361,5.3125,0
-17,1,0.51831,10.625,0.25
-17,3,0.55483,42.5,0
17,3,0.53133,42.5,1
-17,1,0.51329,5.3125,0
17,1,0.51129,5.3125,0.25
-17,3,0.53181,10.625,0.75
17,3,0.5533,42.5,1
17,3,0.52617,21.25,0.25
17,3,0.50982,21.25,0.75
-17,1,0.53044,10.625,1
17,3,0.58618,42.5,1
-17,1,0.60101,42.5,1
-17,1,0.77068,5.3125,0.5
17,3,0.55969,21.25,0
17,1,0.57497,10.625,0.5
17,3,0.72495,10.625,0.5
17,3,0.57694,5.3125,0.75
-17,1,0.56743,21.25,0.25
-17,1,0.57472,42.5,0.5
17,1,0.73757,42.5,0.25
17,1,0.7567,10.625,0.5
17,3,0.64379,10.625,0.5
